Time (s),Fluorescence Intensity (a.u.),Frequency (KHz)
84.06055188179016,2.6300070730452676,2838600
84.28544211387634,2.6278452932098766,2838700
84.50409984588623,2.6307060185185187,2838800
84.72901725769043,2.629931198559671,2838900
84.95370936393738,2.6285789609053496,2839000
85.17109394073486,2.630378086419753,2839100
85.39475178718567,2.6291859567901232,2839200
85.61656045913696,2.6281095679012347,2839300
85.83941984176636,2.629542824074074,2839400
86.06156778335571,2.6303292181069957,2839500
86.28377556800842,2.6287660751028805,2839600
86.51475191116333,2.6288200874485597,2839700
86.72660374641418,2.629886188271605,2839800
86.94919013977051,2.628776363168724,2839900
87.17139172554016,2.6281378600823047,2840000
87.39313244819641,2.629838605967078,2840100
87.61896800994873,2.6301922582304527,2840200
87.83856534957886,2.629661779835391,2840300
88.0607397556305,2.6286342592592593,2840400
88.28251075744629,2.630443672839506,2840500
88.50462293624878,2.6296206275720166,2840600
88.72747850418091,2.6300205761316873,2840700
88.95007824897766,2.6291936728395062,2840800
89.17133569717407,2.6298373199588476,2840900
89.39341807365417,2.6278819444444443,2841000
89.61585235595703,2.630525977366255,2841100
89.84156036376953,2.6287429269547324,2841200
90.05921578407288,2.6299922839506173,2841300
90.29788446426392,2.6303504372427984,2841400
90.5027596950531,2.628348765432099,2841500
90.72346353530884,2.6291030092592593,2841600
90.94707369804382,2.630064943415638,2841700
91.16870450973511,2.630963220164609,2841800
91.38993954658508,2.629401363168724,2841900
91.61341619491577,2.6292791923868313,2842000
91.83446669578552,2.62914866255144,2842100
92.05653858184814,2.62957433127572,2842200
92.27885842323303,2.6288226594650204,2842300
92.50223851203918,2.6285384516460906,2842400
92.7227349281311,2.629093364197531,2842500
92.95015335083008,2.630073945473251,2842600
93.1697564125061,2.6296006944444446,2842700
93.38874340057373,2.62866512345679,2842800
93.61186146736145,2.6286779835390948,2842900
93.85012793540955,2.629414866255144,2843000
94.05627989768982,2.6290207047325103,2843100
94.27801299095154,2.629957561728395,2843200
94.50009632110596,2.6280144032921813,2843300
94.72278499603271,2.6285268775720163,2843400
94.94572257995605,2.6306860853909466,2843500
95.16638016700745,2.6283963477366257,2843600
95.38963723182678,2.6297749485596706,2843700
95.61159300804138,2.6292746913580247,2843800
95.83427047729492,2.629463734567901,2843900
96.05516028404236,2.629707433127572,2844000
96.27688074111938,2.6293737139917694,2844100
96.50026392936707,2.6294810956790124,2844200
96.7234034538269,2.6295498971193414,2844300
96.94419574737549,2.630625643004115,2844400
97.16645646095276,2.6282118055555554,2844500
97.4010603427887,2.632642103909465,2844600
97.60655450820923,2.628511445473251,2844700
97.83252692222595,2.6300462962962965,2844800
98.05275511741638,2.6285551697530862,2844900
98.27310538291931,2.630189686213992,2845000
98.4967749118805,2.6298784722222224,2845100
98.72221779823303,2.6316120113168724,2845200
98.93985438346863,2.6312184927983537,2845300
99.16310405731201,2.6287364969135805,2845400
99.38798475265503,2.6287609310699587,2845500
99.60696983337402,2.6299196244855967,2845600
99.82862114906311,2.6286464763374484,2845700
100.0548164844513,2.631374742798354,2845800
100.27332711219788,2.629792309670782,2845900
100.49900650978088,2.628428497942387,2846000
100.71964168548584,2.629976851851852,2846100
100.94230532646179,2.6310950360082304,2846200
101.16142463684082,2.6285757458847736,2846300
101.3855950832367,2.6287004886831276,2846400
101.60645318031311,2.629528677983539,2846500
101.82903265953064,2.6311117541152265,2846600
102.05174136161804,2.628020190329218,2846700
102.27191376686096,2.6291235853909467,2846800
102.49527335166931,2.6292258230452674,2846900
